🔥测试源,#genre#
CCTV-1综合,http://182.150.115.26:5003/cctv1.m3u8
CCTV-2财经,http://182.150.115.26:5003/cctv2.m3u8
CCTV-3综艺,http://182.150.115.26:5003/cctv2.m3u8
CCTV-4国际,http://182.150.115.26:5003/cctv4.m3u8
CCTV-5体育,http://182.150.115.26:5003/cctv5.m3u8
CCTV-6电影,http://182.150.115.26:5003/cctv6.m3u8
CCTV-7军事,http://182.150.115.26:5003/cctv7.m3u8
CCTV-8电视,http://182.150.115.26:5003/cctv8.m3u8
CCTV-9纪录,http://182.150.115.26:5003/cctv9.m3u8
CCTV-10科教,http://182.150.115.26:5003/cctv10.m3u8
CCTV-11戏曲,http://182.150.115.26:5003/cctv11.m3u8
CCTV-12社会,http://182.150.115.26:5003/cctv12.m3u8
CCTV-13新闻,http://182.150.115.26:5003/cctv13.m3u8
CCTV-14少儿,http://182.150.115.26:5003/cctv14.m3u8
CCTV-15音乐,http://182.150.115.26:5003/cctv15.m3u8
CCTV-17农业,http://182.150.115.26:5003/cctv17.m3u8
东方卫视,http://182.150.115.26:5003/dfws.m3u8
重庆卫视,http://182.150.115.26:5003/cqws.m3u8
吉林卫视,http://182.150.115.26:5003/jlws.m3u8
辽宁卫视,http://182.150.115.26:5003/lnws.m3u8
甘肃卫视,http://182.150.115.26:5003/gsws.m3u8
青海卫视,http://182.150.115.26:5003/qhws.m3u8
陕西卫视,http://182.150.115.26:5003/sxws.m3u8
山东卫视,http://182.150.115.26:5003/sdws.m3u8
河南卫视,http://182.150.115.26:5003/hnws.m3u8
江西卫视,http://182.150.115.26:5003/jxws.m3u8
江苏卫视,http://182.150.115.26:5003/jsws.m3u8
东南卫视,http://182.150.115.26:5003/dnws.m3u8
广东卫视,http://182.150.115.26:5003/gdws.m3u8
广西卫视,http://182.150.115.26:5003/gxws.m3u8
云南卫视,http://182.150.115.26:5003/ynws.m3u8
贵州卫视,http://182.150.115.26:5003/gzws.m3u8
新疆卫视,http://182.150.115.26:5003/xjws.m3u8
西藏卫视,http://182.150.115.26:5003/xzws.m3u8

🔥卡顿源_sc,#genre#
---星火---
CCTV-1综合,https://cqcb.iptv.darwinchow.com/cctv1HD
CCTV-2财经,https://cqcb.iptv.darwinchow.com/cctv2HD
CCTV-3综艺,https://cqcb.iptv.darwinchow.com/cctv3HD
CCTV-4国际,https://cqcb.iptv.darwinchow.com/cctv4HD
CCTV-5体育,https://cqcb.iptv.darwinchow.com/cctv5HD
CCTV-6电影,https://cqcb.iptv.darwinchow.com/cctv6HD
CCTV-7军事,https://cqcb.iptv.darwinchow.com/cctv7HD
CCTV-8电视,https://cqcb.iptv.darwinchow.com/cctv8HD
CCTV-9纪录,https://cqcb.iptv.darwinchow.com/cctv9HD
CCTV-10科教,https://cqcb.iptv.darwinchow.com/cctv10HD
